Timestamp,Flex_Value,Accel_X,Accel_Y,Accel_Z,Intensity,Direction
09:26:03,108.8,0.440,0.067,0.032,0.0478,DOWN
09:26:03,109.7,0.448,0.039,-0.006,0.0475,DOWN
09:26:03,109.2,0.446,0.008,-0.042,0.0476,DOWN
09:26:03,109.1,0.436,-0.025,-0.080,0.0516,DOWN
09:26:03,109.1,0.430,-0.066,-0.110,0.0508,BACK
09:26:03,109.4,0.419,-0.114,-0.131,0.0536,BACK
09:26:03,109.3,0.392,-0.157,-0.153,0.0551,BACK
09:26:03,109.3,0.366,-0.194,-0.170,0.0489,BACK
09:26:03,109.4,0.346,-0.224,-0.185,0.0390,BACK
09:26:03,109.2,0.323,-0.249,-0.213,0.0435,DOWN
09:26:03,109.2,0.297,-0.261,-0.246,0.0443,DOWN
09:26:03,109.0,0.265,-0.263,-0.271,0.0407,LEFT
09:26:04,109.2,0.237,-0.269,-0.284,0.0313,LEFT
09:26:04,109.4,0.212,-0.273,-0.296,0.0276,LEFT
09:26:04,109.5,0.184,-0.291,-0.328,0.0461,DOWN
09:26:04,109.6,0.140,-0.288,-0.368,0.0592,LEFT
09:26:04,109.2,0.107,-0.294,-0.371,0.0338,LEFT
09:26:04,109.1,0.088,-0.310,-0.346,0.0352,UP
09:26:04,109.0,0.074,-0.337,-0.299,0.0559,UP
09:26:04,108.9,0.061,-0.366,-0.249,0.0600,UP
09:26:04,108.9,0.049,-0.395,-0.194,0.0625,UP
09:26:04,108.8,0.035,-0.415,-0.136,0.0634,UP
09:26:04,108.9,0.027,-0.431,-0.074,0.0641,UP
09:26:04,109.1,0.017,-0.443,-0.013,0.0631,UP
09:26:04,108.3,0.001,-0.446,0.046,0.0616,UP
09:26:04,108.5,-0.005,-0.435,0.099,0.0543,UP
09:26:05,108.6,-0.005,-0.429,0.148,0.0489,UP
09:26:05,108.5,0.006,-0.412,0.195,0.0509,UP
09:26:05,108.6,0.019,-0.383,0.237,0.0533,UP
09:26:05,108.4,0.025,-0.353,0.283,0.0555,UP
09:26:05,108.5,0.037,-0.311,0.324,0.0595,FORWARD
09:26:05,108.4,0.052,-0.257,0.356,0.0644,FORWARD
09:26:05,108.2,0.080,-0.204,0.382,0.0655,FORWARD
09:26:05,108.6,0.084,-0.143,0.379,0.0610,FORWARD
09:26:05,109.0,0.102,-0.101,0.397,0.0489,FORWARD
09:26:05,109.0,0.103,-0.079,0.416,0.0286,FORWARD
09:26:05,109.0,0.095,-0.055,0.430,0.0290,FORWARD
09:26:05,108.8,0.073,-0.040,0.452,0.0346,LEFT
09:26:05,108.5,0.046,-0.046,0.461,0.0296,LEFT
09:26:06,108.4,0.030,-0.057,0.464,0.0200,LEFT
09:26:06,108.1,-0.011,-0.066,0.475,0.0429,LEFT
09:26:06,107.9,-0.040,-0.070,0.467,0.0305,LEFT
09:26:06,108.3,-0.051,-0.084,0.470,0.0185,BACK
09:26:06,108.2,-0.084,-0.080,0.462,0.0339,LEFT
